Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,38.810001,39.23,38.610001,38.66,27.617935,2587600
2011-01-04,38.369999,38.459999,37.18,37.389999,26.710674,2975700
2011-01-05,36.34,36.939999,36.209999,36.630001,26.167746,4655200
2011-01-06,36.43,36.73,35.849998,36.32,25.946285,3979600
2011-01-07,36.400002,36.439999,35.75,36.310001,25.939142,1152200
2011-01-10,35.189999,35.91,35.150002,35.900002,25.646248,3388700
2011-01-11,36.73,36.970001,36.529999,36.75,26.253469,2000200
2011-01-12,37.400002,37.549999,37.220001,37.48,26.774967,1635800
2011-01-13,37.330002,37.66,37.16,37.290001,26.639235,973300
2011-01-14,38.669998,41.09,38.639999,40.830002,29.168137,12561300
2011-01-18,40.330002,40.599998,39.869999,40.099998,28.646641,3886900
2011-01-19,39.349998,39.439999,36.950001,37.189999,26.567795,11033700
2011-01-20,36.889999,38.68,36.759998,38.57,27.553637,7719700
2011-01-21,39.040001,39.360001,38.82,38.950001,27.825106,2598400
2011-01-24,38.439999,39.82,38.439999,39.700001,28.360893,4145300
2011-01-25,40.209999,41.25,40.119999,41.040001,29.318157,7593700
2011-01-26,41.400002,42.299999,41.060001,41.860001,29.90395,5097300
2011-01-27,42.16,43.07,42.119999,42.880001,30.63262,4134600
2011-01-28,42.540001,42.610001,41.189999,42.080002,30.061115,5064400
2011-01-31,41.84,42.380001,41.41,42.009998,30.011105,3926500
2011-02-01,43.040001,44.66,42.990002,43.950001,31.397015,8027300
2011-02-02,43.439999,44.130001,43.23,43.560001,31.118395,4192300
2011-02-03,43.169998,43.360001,42.439999,43.099998,30.789785,3217200
2011-02-04,42.830002,43.689999,42.799999,43.43,31.025528,2814800
2011-02-07,43.869999,44.310001,43.580002,43.84,31.318424,2224500
2011-02-08,43.68,43.68,43.169998,43.330002,30.95409,2426100
2011-02-09,43.029999,43.459999,43.029999,43.040001,30.746923,3851700
2011-02-10,42.119999,43.029999,42.080002,42.880001,30.63262,1983800
2011-02-11,43.119999,43.619999,42.950001,43.540001,31.104116,2035100
2011-02-14,43.360001,44.349998,43.299999,44.330002,31.66847,2011600
2011-02-15,43.66,43.849998,43.200001,43.459999,31.046955,2618000
2011-02-16,43.959999,44.610001,43.950001,44.599998,31.86134,2027200
2011-02-17,44.130001,44.919998,44.09,44.82,32.018517,1787600
2011-02-18,44.330002,45.360001,44.330002,45.07,32.197113,2332900
2011-02-22,43.419998,44.549999,43.369999,43.41,31.01123,4220900
2011-02-23,43.43,43.580002,42.41,42.900002,30.64691,2238000
2011-02-24,42.77,43.349998,42.52,43.130001,30.811216,2146000
2011-02-25,43.25,43.700001,43.150002,43.529999,31.096964,1408000
2011-02-28,44.029999,44.310001,43.18,43.599998,31.146971,1825400
2011-03-01,44.18,44.25,43.119999,43.290001,30.925508,1925000
2011-03-02,43.419998,44.450001,43.419998,44.200001,31.575602,2000000
2011-03-03,45.669998,45.919998,45.41,45.82,32.732891,1700500
2011-03-04,45.580002,45.630001,45.220001,45.52,32.518585,1196000
2011-03-07,45.110001,45.279999,43.48,43.799999,31.289846,2177700
2011-03-08,43.68,44.360001,43.209999,43.610001,31.154112,1564600
2011-03-09,43.830002,43.84,42.939999,43.27,30.911221,2185500
2011-03-10,41.25,41.27,40.720001,40.830002,29.168137,3627600
2011-03-11,40.169998,41.48,40.150002,41.23,29.453894,3127700
2011-03-14,41.549999,41.860001,41.220001,41.549999,29.682493,2099400
2011-03-15,39.599998,40.93,39.490002,40.759998,29.118132,2188700
2011-03-16,40.259998,40.759998,39,39.23,28.025133,2312400
2011-03-17,40.68,41.290001,40.360001,41.02,29.303875,2283700
2011-03-18,41.810001,41.82,40.669998,40.889999,29.211002,1514600
2011-03-21,42.099998,42.130001,41.740002,42.040001,30.032536,1843800
2011-03-22,42.02,42.099998,41.389999,41.77,29.839655,1875800
2011-03-23,42.169998,42.990002,41.970001,42.799999,30.575468,1654200
2011-03-24,43.18,43.580002,42.880001,43.07,30.768356,3655300
2011-03-25,42.990002,43.669998,42.849998,43.049999,30.754059,1534300
2011-03-28,43.299999,43.720001,43.27,43.389999,30.996948,1045500
2011-03-29,42.880001,43.650002,42.759998,43.509998,31.082678,1316100
2011-03-30,44.549999,44.68,44.169998,44.349998,31.682758,2029100
2011-03-31,44.540001,44.720001,44.060001,44.5,31.789911,2226100
2011-04-01,44.139999,44.560001,43.950001,44.299999,31.647032,1469900
2011-04-04,44.490002,44.549999,43.849998,44.18,31.561314,1593000
2011-04-05,44.310001,44.790001,44.23,44.43,31.739902,1171900
2011-04-06,44.049999,44.16,43.630001,43.860001,31.332718,1802300
2011-04-07,43.009998,43.25,42.490002,42.84,30.604046,2660200
2011-04-08,43.189999,43.189999,42.02,42.360001,30.261137,1911400
2011-04-11,42.860001,43.150002,42.529999,42.900002,30.64691,3132400
2011-04-12,42.77,42.880001,42.110001,42.41,30.296865,2346200
2011-04-13,42.110001,42.209999,39.18,39.630001,28.310883,12720000
2011-04-14,39.889999,40.169998,39.360001,39.759998,28.403751,9850500
2011-04-15,40.41,40.419998,39.810001,40.040001,28.603779,3202600
2011-04-18,38.740002,39.130001,38.299999,38.73,27.66794,4048100
2011-04-19,38.630001,38.75,38.009998,38.290001,27.353617,4360300
2011-04-20,41,41.740002,40.75,41.68,29.775366,5491400
2011-04-21,41.110001,41.150002,40.299999,40.77,29.125275,3059700
2011-04-25,40.73,41.25,40.68,40.990002,29.282444,2383000
2011-04-26,40.900002,41.73,40.759998,41.639999,30.143156,3900000
2011-04-27,41.73,42.080002,41.18,41.970001,30.382046,2102700
2011-04-28,42.169998,42.349998,40.869999,41.41,29.97666,4300000
2011-04-29,41.639999,41.830002,41.310001,41.759998,30.230019,1769700
2011-05-02,41.98,41.990002,40.860001,41.029999,29.70158,2534400
2011-05-03,41.540001,41.75,41.119999,41.580002,30.099718,2600000
2011-05-04,42.549999,42.580002,41.240002,41.630001,30.135918,3958400
2011-05-05,41.27,41.5,40.740002,41.119999,29.766731,3200000
2011-05-06,41.009998,41.27,40.080002,40.330002,29.194849,3092100
2011-05-09,40.799999,41.34,40.689999,41.209999,29.831882,2247200
2011-05-10,41.509998,41.860001,41.369999,41.709999,30.19383,2454500
2011-05-11,40.040001,40.200001,39.150002,39.529999,28.61573,3900000
2011-05-12,39.990002,40.810001,39.639999,40.529999,29.339626,2300000
2011-05-13,39.990002,40.049999,39.290001,39.639999,28.69536,1756600
2011-05-16,40.189999,40.650002,39.75,39.869999,28.861855,2726300
2011-05-17,39.27,39.650002,39.16,39.630001,28.688118,2845800
2011-05-18,39.790001,40.549999,39.75,40.349998,29.20933,1883500
2011-05-19,39.93,40.32,39.700001,40.18,29.086266,2292300
2011-05-20,39.990002,40,39.310001,39.560001,28.637451,2705800
2011-05-23,38.209999,38.470001,37.650002,37.75,27.32719,4500000
2011-05-24,38.209999,38.259998,37.560001,37.919998,27.450256,3791200
2011-05-25,37.619999,38.209999,37.610001,38.049999,27.544359,1426600
2011-05-26,37.93,38.009998,37.369999,37.830002,27.385101,2474400
2011-05-27,38.07,38.310001,37.959999,38.07,27.558836,1472000
2011-05-31,39.049999,39.09,38.560001,39.009998,28.2393,1342500
2011-06-01,38.75,39.049999,38.16,38.209999,27.660181,1620100
2011-06-02,38.400002,38.66,38.040001,38.389999,27.790487,1437400
2011-06-03,38.400002,38.560001,38.009998,38.240002,27.681896,1336600
2011-06-06,38.23,38.360001,37.919998,37.919998,27.450256,899900
2011-06-07,38.650002,39.029999,38.450001,38.689999,28.007652,1708600
2011-06-08,38.099998,38.240002,37.41,37.669998,27.269276,2007300
2011-06-09,37.509998,38.25,37.389999,37.889999,27.428534,956500
2011-06-10,37.419998,37.490002,36.400002,36.57,26.472988,3063600
