Date,Open,High,Low,Close
2022-01-03,1829.05,1829.05,1829.05,1829.05
2021-12-31,1815.45,1827.45,1814.6,1821.5
2021-12-30,1804.3,1816.9,1796.34,1814.95
2021-12-29,1806.34,1807.65,1789.33,1804.55
2021-12-28,1811.95,1819.85,1804.79,1805.85
2021-12-27,1802.93,1813.1,1802.93,1812.15
2021-12-26,1802.93,1802.93,1802.93,1802.93
2021-12-24,1808.8,1812.7,1802.93,1802.93
2021-12-23,1803.4,1810.5,1799.5,1808.8
2021-12-22,1789.15,1804.65,1786,1803.45
2021-12-21,1791.05,1799.9,1785.02,1788.8
2021-12-20,1800.85,1803.8,1788.18,1790.65
2021-12-19,1797.95,1797.95,1797.95,1797.95
2021-12-18,1797.95,1797.95,1797.95,1797.95
2021-12-17,1798.55,1813.9,1796,1797.95
2021-12-16,1778.82,1799.5,1775.9,1799.4
2021-12-15,1771.35,1780.7,1756.05,1777.66
2021-12-14,1786.3,1789.55,1766.9,1770.5
2021-12-13,1782.7,1791.1,1782.15,1786.65
2021-12-12,1782.7,1782.7,1782.7,1782.7
2021-12-11,1782.7,1782.7,1782.7,1782.7
2021-12-10,1776,1787.7,1769.9,1782.7
2021-12-09,1783.1,1787.24,1773.87,1775
2021-12-08,1784.85,1792.72,1779.9,1783.1
2021-12-07,1779.2,1787.55,1772.7,1784.2
2021-12-06,1782,1787.25,1776.35,1778.3
2021-12-05,1783.35,1783.35,1783.35,1783.35
2021-12-04,1783.35,1783.35,1783.35,1783.35
2021-12-03,1769.5,1785.95,1766,1783.35
2021-12-02,1781.9,1782.9,1762.19,1767.73
2021-12-01,1775.95,1791.7,1772.3,1780.98
2021-11-30,1785.25,1808.45,1769.7,1775.05
2021-11-29,1788.6,1799.35,1781.6,1784.6
2021-11-28,1792.6,1792.6,1792.6,1792.6
2021-11-26,1789.54,1814.7,1783.5,1792.6
2021-11-25,1788.3,1794.8,1786.21,1789.54
2021-11-24,1789.11,1796.35,1778.8,1788.75
2021-11-23,1808.45,1811.79,1782,1789.1
2021-11-22,1844.09,1848.8,1802.6,1804.75
2021-11-21,1845.8,1845.8,1845.8,1845.8
2021-11-20,1845.8,1845.8,1845.8,1845.8
2021-11-19,1859.3,1865.11,1843.55,1845.8
2021-11-18,1866.45,1870.9,1855.6,1859
2021-11-17,1849.85,1867.9,1849.75,1867.4
2021-11-16,1862.25,1876.43,1849.46,1850.6
2021-11-15,1864.9,1869.4,1856.2,1862.8
2021-11-14,1864.9,1864.9,1864.9,1864.9
2021-11-12,1861.9,1868.11,1845.2,1864.9
2021-11-11,1848.85,1865.85,1843.1,1862.2
2021-11-10,1831.85,1859.75,1822.79,1849.2
2021-11-09,1824.3,1832.6,1819.02,1831.85
2021-11-08,1815.85,1826.15,1812.52,1824.05
2021-11-07,1817.73,1817.73,1817.73,1817.73
2021-11-06,1817.73,1817.73,1817.73,1817.73
2021-11-05,1791.7,1818.25,1785.95,1817.73
2021-11-04,1773.7,1798.8,1770.8,1791.15
