Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,21.01,21.049999,20.780001,20.85,14.891534,58223800
2011-01-04,21.120001,21.200001,21.049999,21.15,15.105803,75206200
2011-01-05,21.190001,21.209999,20.9,20.940001,14.955818,61810500
2011-01-06,20.67,20.82,20.549999,20.77,14.834404,116669000
2011-01-07,20.709999,20.77,20.27,20.66,14.755838,74806100
2011-01-10,20.709999,20.77,20.57,20.690001,14.777264,51449700
2011-01-11,20.83,21.120001,20.74,21.049999,15.034382,64452600
2011-01-12,21.27,21.33,21.07,21.299999,15.212939,53380600
2011-01-13,21.26,21.32,21.08,21.290001,15.205794,104066300
2011-01-14,21.35,21.42,20.969999,21.08,15.055812,154888800
2011-01-18,21.030001,21.200001,20.940001,21.08,15.055812,55272100
2011-01-19,21.07,21.129999,20.950001,21.01,15.005812,43339000
2011-01-20,20.940001,20.950001,20.620001,20.950001,14.962955,56170800
2011-01-21,20.950001,21.040001,20.809999,20.82,14.870114,63697600
2011-01-24,21.030001,21.24,20.93,21.24,15.170081,82375700
2011-01-25,21.280001,21.57,21.17,21.549999,15.391495,72327200
2011-01-26,21.77,21.9,21.66,21.75,15.534338,57196100
2011-01-27,21.76,21.940001,21.65,21.75,15.534338,58069200
2011-01-28,21.76,21.889999,21.35,21.459999,15.327211,55193100
2011-01-31,21.549999,21.639999,21.030001,21.459999,15.327211,90844300
2011-02-01,21.49,21.700001,21.280001,21.48,15.341498,60971000
2011-02-02,21.48,21.709999,21.469999,21.559999,15.398635,46928100
2011-02-03,21.41,21.65,21.299999,21.57,15.536208,39846000
2011-02-04,21.469999,21.700001,21.43,21.68,15.615436,39353500
2011-02-07,21.74,21.860001,21.629999,21.690001,15.622641,43643100
2011-02-08,21.65,21.68,21.4,21.639999,15.586626,48215100
2011-02-09,21.530001,21.6,21.42,21.459999,15.456975,44601400
2011-02-10,21.43,21.84,21.35,21.799999,15.701868,56661800
2011-02-11,21.629999,21.85,21.52,21.76,15.673064,43716600
2011-02-14,21.629999,21.799999,21.5,21.57,15.536208,45134600
2011-02-15,21.48,21.549999,21.280001,21.450001,15.449778,50640200
2011-02-16,21.57,21.879999,21.43,21.75,15.665855,55214100
2011-02-17,21.68,22.059999,21.67,21.969999,15.824313,50185500
2011-02-18,22.09,22.209999,22.01,22.139999,15.946763,55060500
2011-02-22,21.950001,22.190001,21.73,21.809999,15.70907,64515600
2011-02-23,21.700001,21.719999,21.01,21.15,15.233693,83648300
2011-02-24,21.1,21.41,21.030001,21.290001,15.33453,54496400
2011-02-25,21.52,22,21.459999,21.860001,15.74509,53475700
2011-02-28,21.75,21.84,21.370001,21.469999,15.464178,66390100
2011-03-01,21.610001,21.690001,21.35,21.389999,15.406557,57987400
2011-03-02,21.42,21.700001,21.4,21.49,15.47858,52192300
2011-03-03,21.66,21.879999,21.65,21.790001,15.694663,50504000
2011-03-04,21.879999,22.08,21.4,21.559999,15.529003,64664800
2011-03-07,21.690001,21.74,21.08,21.209999,15.276909,57520200
2011-03-08,21.26,21.26,21.02,21.129999,15.219288,57165700
